GIDTR,State,State_name,County,County_name,Tract,Num_BGs_in_Tract,pct_Prs_Blw_Pov_Lev_ACS__,pct_Civ_unemp_16p_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,No_Health_Ins_ACS__,pct_Males_ACS__,pct_NH_White_alone_ACS__,pct_NH_Blk_alone_ACS__,Tot_Population_ACS__,LAND_AREA,pct_Pop_25_44_ACS__,pct_Pop_Below25_ACS__,pct_Pop_45plus_ACS__,Pop_density_calculated_ACS,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS__,dist_general_km,dist_sud_km,general_facility_count,sud_facility_count,general_facility_count_5km,sud_facility_count_5km,general_facilities_per_10k,sud_facilities_per_10k,general_facilities_per_10k_5km,sud_facilities_per_10k_5km,accessibility_general_2sfca_10km_per10k,accessibility_sud_2sfca_10km_per10k,accessibility_general_2sfca_20km_per10k,accessibility_sud_2sfca_20km_per10k,accessibility_general_2sfca_30km_per10k,accessibility_sud_2sfca_30km_per10k,Intent,Period,Count,Rate,Rate_M,Rate_M_CI,Rate_Independent,Med_HHD_Inc_Thousands_ACS___Neighbor_1,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_1,pct_Renter_Occp_HU_ACS___Neighbor_Avg,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_1,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_1,pct_Vacant_Units_ACS___Neighbor_Avg,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_1,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_Avg,Rate_Independent_Neighbor_1,Rate_Independent_Neighbor_Avg,year_pair,Cluster_ID
53033005202,53,Washington,33,King County,5202,3,35.49,4.11,3.0,72.26,96.41,21.68,169.0,55.45,40.83,3.2,3223.0,0.104,41.86,51.82,5.68,30990.38,5.24,44.532,0.172,2.304,2,0,32,5,6.205,0.0,99.286,15.513,1.28,0.455,1.107,0.449,1.017,0.421,Drug_OD,TTM,1-9,16.7,1.0,9.2-35.9,12.7,86.51,43.029,69.22,89.483,12.31,39.93,4.58,13.377,5.27,9.003,12.7,12.7,2024→2025,0
53033005304,53,Washington,33,King County,5304,2,45.09,17.6,6.33,65.82,100.0,12.64,206.0,40.98,40.84,2.91,3541.0,0.028,3.42,95.54,1.04,126464.29,5.82,19.375,0.342,2.645,0,0,30,5,0.0,0.0,84.722,14.12,1.221,0.425,1.097,0.442,1.015,0.416,Drug_OD,TTM,1-9,16.7,1.0,9.2-35.9,12.7,23.201,37.27,99.23,96.793,62.39,49.623,22.91,19.523,15.92,8.25,12.7,15.2,2024→2025,0
53033005305,53,Washington,33,King County,5305,2,62.39,3.88,5.35,59.7,99.23,22.91,393.0,53.44,36.51,9.08,2468.0,0.082,27.15,67.43,5.43,30097.56,15.92,23.201,0.253,2.741,0,0,32,3,0.0,0.0,129.66,12.156,1.228,0.425,1.104,0.443,1.016,0.413,Drug_OD,TTM,1-9,16.7,1.0,9.2-35.9,12.7,19.375,35.995,100.0,97.05,45.09,43.857,12.64,16.1,5.82,4.883,12.7,15.2,2024→2025,0
53033005306,53,Washington,33,King County,5306,2,50.99,1.11,2.54,60.25,94.74,13.98,129.0,56.7,30.97,8.49,3591.0,0.077,37.2,53.97,8.83,46636.36,3.59,44.077,0.358,2.964,0,0,33,4,0.0,0.0,91.896,11.139,1.178,0.413,1.095,0.434,1.011,0.41,Drug_OD,TTM,12,30.5,0.0,,20.2,37.989,40.18,100.0,97.063,53.23,49.52,0.0,10.473,4.23,8.94,20.2,17.7,2024→2025,0
53033005307,53,Washington,33,King County,5307,3,53.23,11.25,0.0,74.59,100.0,0.0,127.0,48.64,54.19,4.36,3004.0,0.05,5.29,91.88,2.83,60080.0,4.23,37.989,0.576,3.335,0,0,28,3,0.0,0.0,93.209,9.987,1.178,0.412,1.1,0.435,1.014,0.411,Drug_OD,TTM,12,30.5,0.0,,20.2,44.077,36.917,94.74,95.997,50.99,51.69,13.98,16.913,3.59,10.063,20.2,15.2,2024→2025,0
53033005401,53,Washington,33,King County,5401,3,6.09,1.74,0.42,90.61,67.6,7.53,81.0,54.23,67.8,2.37,3332.0,0.292,60.95,12.42,25.03,11410.96,2.43,135.881,1.19,0.97,0,0,52,12,0.0,0.0,156.062,36.014,1.401,0.534,1.125,0.463,1.031,0.436,Drug_OD,TTM,1-9,18.1,1.0,9.8-39.4,0.0,111.603,120.993,75.08,66.94,4.94,7.947,8.56,6.967,3.24,4.073,21.3,14.2,2024→2025,0
53033005402,53,Washington,33,King County,5402,3,4.94,4.15,0.0,82.32,75.08,8.56,99.0,42.02,79.29,0.79,3056.0,0.179,55.96,15.54,26.21,17072.63,3.24,111.603,0.974,0.704,0,0,34,9,0.0,0.0,111.257,29.45,1.275,0.447,1.071,0.439,0.994,0.413,Drug_OD,TTM,1-9,24.1,1.0,13.7-50.6,21.3,118.46,123.367,68.59,71.053,10.59,7.537,7.32,7.3,3.0,4.607,21.3,14.2,2024→2025,0
53033005600,53,Washington,33,King County,5600,5,2.22,2.39,0.0,75.73,11.18,4.99,55.0,48.09,81.09,1.0,7032.0,1.167,24.22,19.32,49.9,6025.71,0.78,208.643,0.57,4.476,0,0,8,1,0.0,0.0,11.377,1.422,0.977,0.383,0.922,0.402,0.928,0.398,Drug_OD,TTM,1-9,15.7,1.0,7.9-37.2,15.4,142.463,150.005,57.54,52.647,16.36,8.643,5.27,6.913,3.35,2.86,15.4,14.833,2024→2025,0
53033005700,53,Washington,33,King County,5700,5,4.07,2.83,1.66,74.16,32.29,7.27,224.0,49.22,68.43,0.22,6483.0,1.964,30.97,19.58,43.34,3300.92,3.46,177.654,2.484,4.947,1,0,8,1,1.542,0.0,12.34,1.542,0.951,0.34,0.921,0.392,0.906,0.392,Drug_OD,TTM,1-9,15.7,1.0,7.9-37.2,15.4,121.062,136.921,61.22,51.667,7.4,4.777,1.7,4.287,1.07,1.473,19.8,17.767,2024→2025,0
53033005801,53,Washington,33,King County,5801,4,5.5,1.38,0.0,74.6,68.11,8.2,108.0,53.26,71.05,2.26,6104.0,0.704,57.59,12.31,26.78,8670.45,1.77,129.898,1.135,2.743,0,0,10,1,0.0,0.0,16.383,1.638,1.048,0.355,0.963,0.403,0.926,0.386,Drug_OD,TTM,1-9,20.5,1.0,11.4-43.7,13.7,101.516,131.493,73.49,61.223,12.38,13.73,6.68,5.25,8.53,4.83,13.7,14.267,2024→2025,0
