Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,Cluster_1,Cluster_2,Cluster_3,Velocity_1Yr,GIDTR
113.583,66.27,8.1,2.2,67.81,1.77,3.47,129.317,4.573,51.497,0,1,0,101.3,53033001800
134.602,47.42,2.09,1.79,70.52,4.11,1.32,156.674,4.69,40.78,0,1,0,101.3,53033001900
145.352,31.66,4.66,0.0,65.12,1.91,1.08,137.748,3.827,37.247,0,0,0,19.7,53033002000
141.743,35.88,2.96,1.92,68.71,2.33,3.84,142.808,3.107,31.94,0,0,0,19.7,53033002100
165.75,19.34,4.48,0.16,78.03,0.54,0.49,163.952,4.497,23.03,0,0,0,0.0,53033002200
164.948,28.23,3.38,1.26,77.82,0.22,0.0,161.367,2.83,32.09,0,0,0,19.7,53033002400
152.451,31.76,1.94,1.12,77.28,0.0,3.65,160.918,5.677,36.92,0,0,0,19.7,53033002500
180.875,41.67,8.62,1.1,81.35,0.42,3.9,128.101,2.827,53.677,0,0,0,20.2,53033002600
211.088,24.41,1.31,1.3,80.28,0.03,4.23,112.664,4.783,65.267,0,1,0,101.3,53033002700
145.438,42.63,7.59,0.9,74.76,4.86,2.78,111.599,6.203,55.397,0,0,0,17.3,53033002800
128.167,30.21,3.49,1.5,73.34,0.09,1.26,152.852,5.087,35.18,0,0,0,17.3,53033002900
157.668,35.36,2.07,0.94,74.41,1.55,2.36,139.415,3.233,49.427,0,0,0,19.8,53033003000
179.039,23.2,1.64,0.43,74.83,0.7,1.71,156.003,2.763,35.09,0,0,0,14.3,53033003100
121.062,61.22,1.7,2.99,66.56,1.11,1.07,157.06,2.147,37.387,0,0,0,19.8,53033003201
159.803,25.67,2.96,2.37,73.56,0.0,1.58,144.147,1.727,49.237,0,0,0,19.8,53033003202
132.339,63.29,1.84,0.03,75.46,0.02,0.83,149.459,6.08,45.75,0,0,0,19.8,53033003301
157.74,54.78,4.37,0.82,72.52,1.47,0.71,139.541,6.117,49.213,0,0,0,19.8,53033003302
155.45,27.55,5.6,1.2,76.11,1.3,4.13,137.611,6.143,42.56,0,0,0,19.8,53033003400
126.927,42.69,10.57,0.34,78.68,0.84,2.65,142.798,4.523,43.527,0,0,0,17.3,53033003500
117.672,52.72,6.43,1.55,78.28,1.37,3.82,128.762,4.89,55.797,0,0,0,20.2,53033003601
89.808,82.11,4.16,0.0,84.21,3.21,1.29,169.878,5.453,39.6,0,0,0,20.2,53033003602
136.932,40.86,5.03,0.12,83.5,3.01,1.91,170.706,2.28,27.88,0,0,0,19.7,53033003800
194.719,23.65,1.52,3.1,87.13,0.0,1.99,159.377,3.87,32.98,0,0,0,19.7,53033003900
160.184,25.98,5.35,3.83,77.06,1.74,0.32,175.223,3.787,38.423,0,0,0,20.4,53033004000
250.001,11.62,4.15,0.0,95.4,1.06,0.84,177.481,3.543,29.667,0,0,0,20.4,53033004101
196.728,32.46,2.22,0.35,85.99,0.24,2.39,195.478,4.233,22.483,0,0,0,20.4,53033004102
176.25,29.85,3.2,2.92,81.25,0.0,0.87,163.705,3.92,30.4,0,0,0,20.4,53033004201
159.464,26.69,5.21,0.81,85.26,0.0,1.3,105.22,9.563,59.727,0,0,0,20.2,53033004202
95.938,55.31,11.64,0.85,80.38,3.04,5.09,114.994,7.147,55.957,0,0,0,20.2,53033004301
43.472,94.02,13.85,1.2,56.76,3.18,10.68,59.335,8.54,83.35,0,0,0,12.7,53033004302
142.045,47.16,2.38,1.89,75.26,2.49,3.5,66.254,11.333,80.43,0,0,0,20.2,53033004401
59.351,91.96,8.51,0.64,78.97,3.26,6.67,109.957,7.18,62.53,0,0,0,20.2,53033004402
143.75,45.69,5.18,1.16,80.01,1.17,5.03,73.7,9.64,79.807,0,0,0,20.2,53033004500
152.727,39.59,5.33,1.79,80.63,0.25,2.15,129.45,7.393,47.033,0,0,0,17.3,53033004600
101.516,73.49,6.68,3.06,75.12,1.15,8.53,139.841,4.25,63.807,0,0,0,13.7,53033004701
130.833,56.8,10.91,0.16,86.93,0.0,0.83,130.532,4.297,63.853,0,0,0,19.8,53033004702
156.35,71.33,0.0,1.56,77.29,0.32,1.55,130.388,8.157,57.943,0,0,0,13.7,53033004703
158.816,43.54,6.88,0.6,77.1,1.25,1.62,142.355,2.147,62.47,0,0,0,21.3,53033004800
120.216,63.44,2.64,1.53,76.19,1.45,5.56,131.012,7.083,63.033,0,0,0,21.3,53033004901
118.46,68.59,7.32,1.51,85.6,3.06,3.0,121.579,5.407,65.223,0,0,0,21.3,53033004902
115.761,76.97,7.05,5.28,76.98,6.04,8.39,128.847,5.943,58.953,0,0,0,21.3,53033005000
154.722,38.34,6.63,2.85,78.7,1.08,3.64,104.625,6.73,73.757,0,0,0,12.7,53033005100
86.51,69.22,4.58,0.86,69.52,5.6,5.27,74.152,17.073,77.993,0,0,0,12.7,53033005201
44.532,96.41,21.68,3.0,72.26,3.2,5.24,43.029,13.377,89.483,0,0,0,12.7,53033005202
19.375,100.0,12.64,6.33,65.82,2.91,5.82,37.27,19.523,96.793,0,0,0,12.7,53033005304
23.201,99.23,22.91,5.35,59.7,9.08,15.92,35.995,16.1,97.05,0,0,0,12.7,53033005305
44.077,94.74,13.98,2.54,60.25,8.49,3.59,40.18,10.473,97.063,0,0,0,20.2,53033005306
37.989,100.0,0.0,0.0,74.59,4.36,4.23,36.917,16.913,95.997,0,0,0,20.2,53033005307
135.881,67.6,7.53,0.42,90.61,2.37,2.43,120.993,6.967,66.94,0,0,0,0.0,53033005401
111.603,75.08,8.56,0.0,82.32,0.79,3.24,123.367,7.3,71.053,0,0,0,21.3,53033005402
208.643,11.18,4.99,0.0,75.73,1.0,0.78,150.005,6.913,52.647,0,0,0,15.4,53033005600
177.654,32.29,7.27,1.66,74.16,0.22,3.46,136.921,4.287,51.667,0,0,0,15.4,53033005700
129.898,68.11,8.2,0.0,74.6,2.26,1.77,131.493,5.25,61.223,0,0,0,13.7,53033005801
142.463,57.54,5.27,2.88,74.4,3.26,3.35,143.571,6.877,50.303,0,0,0,15.4,53033005803
92.171,71.62,7.44,1.88,62.87,1.27,9.51,127.896,8.723,54.413,0,0,1,32.7,53033005804
150.5,52.64,3.8,0.0,76.7,2.17,2.61,151.747,6.017,47.953,0,0,0,13.7,53033005901
177.964,31.73,3.85,1.08,77.44,1.9,0.93,151.94,5.833,50.233,0,0,0,13.7,53033005902
132.917,57.15,5.02,2.03,71.16,2.96,5.98,132.517,3.637,54.84,0,0,0,0.0,53033006000
134.974,52.95,9.95,0.29,84.98,1.85,1.46,66.596,13.95,88.003,0,0,0,0.0,53033006100
238.571,7.17,0.6,1.18,83.93,2.0,0.0,126.809,2.37,57.063,0,0,0,0.0,53033006200
165.125,41.6,8.9,0.82,87.73,0.74,0.54,223.732,1.743,11.01,0,0,0,0.0,53033006300
182.625,14.24,0.48,0.47,86.55,0.93,0.64,122.441,5.06,67.03,0,0,1,48.9,53033006400
161.926,56.95,6.63,1.44,81.81,0.4,3.36,104.129,6.427,83.23,0,0,0,0.0,53033006500
134.393,79.29,8.83,0.72,83.58,3.53,0.8,138.698,6.98,77.637,0,1,0,66.6,53033006600
154.926,95.37,13.53,0.0,92.13,0.63,0.0,127.52,7.78,64.05,0,1,0,66.6,53033006701
129.39,75.19,14.51,0.69,81.08,4.89,0.23,126.348,9.207,85.79,0,1,0,49.8,53033006702
118.777,37.67,0.0,0.8,68.68,1.43,3.82,148.21,10.543,76.273,0,0,0,0.0,53033006703
160.313,58.26,3.59,0.77,81.39,3.23,0.31,125.378,5.313,49.973,0,0,0,0.0,53033006800
172.404,40.91,8.68,1.48,75.65,0.89,4.3,107.102,7.75,64.89,0,0,1,32.7,53033006900
68.821,64.79,12.22,0.54,65.09,3.89,12.11,124.535,9.01,64.747,0,0,1,32.7,53033007001
84.952,71.34,7.26,2.72,69.08,3.72,9.29,106.09,12.057,75.103,0,0,1,32.7,53033007002
120.058,85.33,9.44,3.74,64.1,5.82,2.14,118.125,7.55,78.543,0,1,0,49.8,53033007101
116.25,81.99,11.09,1.99,75.07,4.2,3.53,91.277,9.64,73.82,0,0,1,32.7,53033007102
118.048,78.21,5.78,3.52,83.23,2.49,2.79,129.364,14.38,76.89,0,1,0,49.8,53033007201
175.221,84.83,15.98,3.43,77.69,2.12,7.98,126.025,12.137,82.423,1,0,0,239.8,53033007202
139.167,90.66,6.83,3.39,75.76,4.56,10.47,129.994,10.527,82.777,0,1,0,49.8,53033007203
97.94,100.0,11.12,1.66,65.39,2.55,2.96,100.931,5.793,87.163,0,1,0,66.6,53033007301
144.315,89.98,13.51,3.46,80.49,9.39,3.55,132.086,10.893,91.687,1,0,0,239.8,53033007302
142.543,94.93,11.29,0.4,85.26,4.09,1.98,127.141,10.487,93.547,0,1,0,66.6,53033007303
103.628,87.18,1.9,0.33,78.79,3.72,6.48,78.206,4.88,83.26,0,1,0,66.6,53033007403
99.242,80.59,0.78,2.96,80.57,2.72,6.02,87.525,6.11,91.05,0,1,0,66.6,53033007404
90.074,93.02,15.11,10.28,58.63,6.36,15.36,84.922,9.51,88.6,0,1,0,66.6,53033007405
61.008,85.97,5.31,1.21,71.65,2.37,4.78,95.752,9.003,91.203,0,1,0,66.6,53033007406
74.367,83.22,8.55,2.58,67.18,4.56,0.82,102.988,11.607,88.243,0,1,0,66.6,53033007501
115.263,84.53,17.81,0.0,80.71,3.67,11.44,90.64,10.883,87.143,0,1,0,66.6,53033007502
107.479,85.19,8.99,0.0,90.72,0.0,2.02,94.572,10.303,80.357,0,1,0,126.1,53033007503
131.029,60.92,0.0,0.55,81.15,3.9,1.06,134.927,5.957,46.97,0,0,1,48.9,53033007600
147.788,43.45,8.84,0.93,72.79,11.09,4.38,97.874,2.807,70.947,0,0,1,48.9,53033007700
68.162,75.5,5.05,4.28,66.13,15.86,1.36,105.725,10.057,82.047,0,0,1,48.9,53033007901
94.432,76.42,3.37,0.69,70.56,17.38,3.62,115.66,4.63,59.957,0,0,1,48.9,53033007902
115.711,79.08,17.12,3.73,66.78,11.52,2.51,130.143,10.6,76.6,1,0,0,239.8,53033008002
97.159,66.76,10.04,3.75,70.1,5.89,9.37,142.241,11.303,73.25,0,1,0,49.8,53033008003
192.964,62.46,11.01,0.0,85.32,2.12,2.94,111.755,8.42,76.767,0,1,0,49.8,53033008004
99.479,77.8,16.44,6.02,53.22,3.95,0.98,120.431,15.937,83.92,1,0,0,239.8,53033008101
122.375,84.83,12.57,9.09,57.83,9.77,4.75,87.598,16.43,87.363,1,0,0,239.8,53033008102
123.208,87.85,18.12,0.08,77.03,4.27,4.88,100.159,8.927,85.533,0,1,0,126.1,53033008200
99.609,76.47,8.8,6.19,67.23,7.17,4.21,100.664,10.527,88.063,0,1,0,126.1,53033008300
100.291,81.04,8.05,4.58,60.49,2.08,6.47,95.194,7.733,85.653,0,1,0,126.1,53033008401
78.494,95.3,5.41,0.17,70.12,7.26,4.03,96.658,10.653,83.51,0,1,0,126.1,53033008402
71.875,89.13,22.97,13.62,42.58,17.62,3.36,77.23,14.26,89.91,1,0,0,284.1,53033008500
71.624,87.72,12.34,3.79,67.07,7.42,7.07,93.215,13.337,85.12,0,1,0,126.1,53033008600
121.272,33.31,3.95,10.27,65.12,11.93,3.81,100.649,4.793,60.79,0,0,0,27.4,53033008900
59.436,79.5,5.09,6.91,57.41,14.6,4.34,69.651,10.31,80.117,0,1,0,164.3,53033009000
36.857,94.16,12.32,32.89,43.41,5.58,7.13,57.139,14.263,88.357,1,0,0,284.1,53033009100
40.106,96.44,14.73,21.24,34.4,10.77,8.63,77.036,15.953,89.373,1,0,0,284.1,53033009200
116.786,65.11,13.27,8.81,54.95,6.58,8.9,94.319,6.26,53.46,0,0,1,29.5,53033009300
100.473,58.47,6.27,9.15,65.5,14.07,9.17,69.423,7.79,72.647,0,1,0,164.3,53033009400
142.039,44.4,3.02,7.25,63.77,17.47,5.76,125.666,4.12,37.503,0,0,0,27.4,53033009500
130.75,34.97,17.53,1.37,68.35,0.0,0.7,108.966,6.147,46.277,0,0,1,29.5,53033009801
123.529,43.7,5.31,1.93,67.23,5.79,2.37,123.449,9.893,37.873,0,0,1,29.5,53033009802
95.625,45.59,8.78,3.74,56.37,6.53,8.69,123.688,12.037,47.927,0,0,1,29.5,53033009900
70.509,57.63,6.55,23.33,38.81,22.37,2.78,109.745,8.5,55.953,0,1,0,164.3,53033010001
111.976,44.28,5.96,9.56,61.72,9.09,4.83,95.923,8.697,60.403,0,0,1,29.5,53033010002
143.75,34.92,2.45,6.61,62.76,8.8,1.87,124.302,3.953,37.69,0,0,0,20.2,53033010102
160.357,11.04,2.29,3.37,70.61,11.88,2.17,122.548,6.053,47.207,0,0,0,20.2,53033010200
143.971,33.06,3.37,2.86,60.28,1.96,1.35,112.698,1.6,40.427,0,0,1,30.3,53033010601
92.396,47.2,0.45,8.98,46.29,23.54,2.04,126.121,3.437,35.897,0,0,1,30.3,53033010701
107.743,49.54,4.35,8.66,52.67,34.8,4.68,121.005,2.137,35.117,0,0,1,30.3,53033010702
126.648,25.09,2.59,7.09,50.57,11.02,2.06,101.764,1.9,49.137,0,0,1,30.3,53033010800
42.039,56.26,3.31,28.43,24.97,34.04,5.64,106.715,9.957,48.57,0,0,1,72.4,53033011001
98.716,65.67,13.45,12.07,40.17,25.82,7.24,87.823,6.577,45.433,0,0,1,72.4,53033011101
125.179,41.03,2.26,3.01,57.26,12.44,10.35,118.441,9.967,38.573,0,0,1,72.4,53033011102
81.724,58.38,2.76,20.03,31.59,10.66,11.51,78.565,8.433,51.543,0,0,1,43.4,53033011200
94.671,44.9,9.55,7.86,46.05,11.74,3.49,88.679,2.833,51.643,0,0,1,43.4,53033011300
105.152,50.67,0.9,8.9,35.28,13.74,9.65,98.338,6.697,39.05,0,0,0,28.9,53033011401
79.162,45.88,4.84,7.14,38.61,6.99,11.67,109.801,4.06,34.717,0,0,0,28.9,53033011402
121.182,26.37,5.7,1.53,61.49,1.54,1.68,124.828,3.763,38.293,0,0,0,28.9,53033011500
190.169,18.33,5.55,3.0,75.93,1.73,1.7,112.766,3.513,32.263,0,0,0,28.9,53033011601
137.955,24.54,0.0,1.76,69.72,1.31,2.21,151.774,4.873,25.92,0,0,0,28.9,53033011602
88.994,34.98,6.06,22.42,24.51,18.15,7.22,82.309,8.207,40.58,0,0,0,30.2,53033011700
96.25,39.01,14.16,16.23,46.87,15.47,11.69,93.631,4.997,41.923,0,0,1,72.4,53033011801
66.719,49.76,6.67,10.11,36.91,44.23,6.19,114.509,11.013,21.093,0,0,1,72.4,53033011802
144.23,15.94,6.91,15.84,38.5,11.11,12.69,73.462,4.583,40.75,0,0,0,30.2,53033011901
103.047,8.33,11.97,13.87,31.31,23.46,4.91,108.409,4.527,28.06,0,0,1,70.9,53033011902
119.737,13.8,0.67,2.59,66.35,0.35,2.28,116.598,1.667,36.28,0,0,0,14.6,53033020100
106.711,27.92,1.17,4.36,53.28,4.67,3.49,117.256,2.377,33.103,0,0,0,14.6,53033020200
76.429,62.61,4.62,5.12,49.54,3.06,9.9,95.843,3.477,34.05,0,0,1,43.5,53033020301
89.188,39.25,6.63,6.66,42.72,5.9,2.9,102.63,4.263,44.077,0,0,1,43.5,53033020302
91.629,34.98,2.63,5.44,38.74,10.22,3.64,96.807,4.38,45.83,0,0,1,43.5,53033020401
116.198,31.9,2.67,4.1,53.59,3.09,4.85,143.77,1.5,20.54,0,0,0,11.9,53033020402
124.803,35.63,1.89,3.86,55.3,4.51,2.99,117.767,4.13,24.76,0,0,0,26.4,53033020500
143.981,11.6,6.18,6.17,46.33,12.24,3.19,100.491,3.503,44.3,0,0,0,26.4,53033020600
87.481,58.02,1.99,5.8,46.49,11.61,5.65,129.591,4.883,24.583,0,0,0,14.6,53033020700
155.603,22.9,1.84,4.17,59.62,3.24,2.91,100.258,2.907,38.03,0,0,0,14.6,53033020800
106.583,28.15,5.56,3.05,66.56,2.08,4.74,83.418,2.07,57.003,0,0,0,14.6,53033020900
112.702,23.42,5.72,8.75,50.15,14.83,2.34,126.77,5.51,21.673,0,0,0,17.0,53033021000
117.692,27.7,3.58,2.95,57.25,2.78,2.52,109.196,3.967,37.11,0,0,0,17.0,53033021100
101.453,41.66,6.88,4.72,59.7,11.21,4.59,105.29,7.8,56.563,0,0,1,61.6,53033021300
165.385,18.31,1.87,0.51,69.42,0.0,0.97,133.517,2.923,28.54,0,0,0,11.9,53033021400
174.295,8.33,0.0,1.54,69.71,1.23,2.45,128.802,3.317,27.037,0,0,0,11.9,53033021500
104.824,30.9,5.41,1.97,58.24,2.39,5.08,143.149,3.657,30.887,0,0,0,11.9,53033021600
174.732,32.38,8.39,1.75,63.3,3.7,5.08,103.592,4.81,43.243,0,0,0,11.9,53033021701
80.419,51.95,2.58,4.76,52.09,3.62,6.16,153.973,5.53,33.407,0,0,0,15.8,53033021702
130.568,38.9,2.78,4.08,53.75,0.7,3.54,116.81,10.01,41.163,0,0,0,17.5,53033021802
125.534,46.88,6.44,1.71,56.8,1.12,1.34,125.187,9.4,42.563,0,0,0,17.5,53033021803
120.409,43.36,17.23,7.03,55.78,3.01,2.12,126.601,4.31,42.013,0,0,0,17.5,53033021804
89.155,44.9,6.7,6.39,49.15,3.53,2.84,121.011,7.53,35.907,0,0,0,17.1,53033021903
136.929,30.37,4.28,8.95,53.85,1.02,3.17,117.707,5.147,31.523,0,0,0,17.1,53033021904
124.111,22.71,7.0,0.72,52.8,0.0,4.32,131.713,4.517,34.247,0,0,0,15.0,53033021905
139.856,26.96,1.74,4.56,63.44,0.73,7.39,122.317,5.693,36.833,0,0,0,15.0,53033021906
123.7,40.26,3.71,4.95,64.98,0.34,4.96,139.115,5.62,26.397,0,0,0,17.5,53033022001
131.582,35.52,8.1,3.43,59.89,2.53,8.06,107.414,5.637,37.897,0,0,0,25.8,53033022003
94.521,41.83,10.21,1.39,56.04,1.28,3.04,105.238,6.327,47.867,0,0,0,25.8,53033022005
115.375,34.91,4.46,4.29,61.13,0.39,2.98,122.449,6.303,48.43,0,0,0,19.9,53033022006
173.246,16.12,0.0,3.55,61.55,1.12,3.4,114.508,3.74,38.19,0,0,0,15.8,53033022101
161.652,20.96,1.76,3.63,56.15,0.62,5.96,113.763,1.427,38.263,0,0,0,15.8,53033022102
122.305,35.88,1.7,4.66,40.93,0.04,3.53,158.941,3.537,18.84,0,0,0,16.9,53033022201
142.898,25.55,5.31,1.36,73.46,0.73,1.19,134.388,7.043,35.767,0,0,0,16.9,53033022203
138.565,26.96,0.0,3.62,50.96,1.68,2.97,121.69,5.873,45.063,0,0,0,25.8,53033022204
111.183,63.79,7.82,2.87,65.29,1.5,1.04,117.598,6.66,34.097,0,0,0,16.9,53033022205
176.607,8.6,8.85,1.05,73.81,1.31,1.43,132.464,5.2,26.213,0,0,0,0.0,53033022300
161.643,39.67,0.88,4.9,81.95,0.41,1.42,144.747,6.36,36.927,0,0,0,19.9,53033022401
152.691,52.96,5.94,1.65,77.56,0.26,6.88,160.994,5.62,38.223,0,0,0,19.9,53033022402
166.174,22.91,8.68,4.1,73.8,5.45,4.11,164.542,4.53,36.587,0,0,0,19.9,53033022501
155.164,52.09,7.3,0.0,65.33,0.0,1.22,178.233,5.62,32.833,0,0,0,0.0,53033022502
155.25,28.76,3.14,1.18,66.86,1.56,6.77,148.717,4.513,39.323,0,0,0,13.5,53033022603
176.818,18.0,5.41,1.85,71.54,2.09,3.3,157.961,6.767,34.667,0,0,0,14.4,53033022604
118.333,55.39,3.98,10.28,49.4,1.34,8.07,161.828,5.197,39.967,0,0,0,13.5,53033022605
152.544,29.0,4.32,1.68,64.73,1.24,3.01,179.722,4.353,25.603,0,0,0,14.4,53033022606
173.103,60.13,11.58,1.32,73.1,1.69,1.06,206.999,5.65,27.517,0,0,0,0.0,53033022701
215.833,22.63,2.24,3.06,75.44,1.02,3.07,175.196,7.333,44.82,0,0,0,0.0,53033022702
197.321,22.24,3.12,2.14,72.62,1.22,0.69,169.417,2.783,36.617,0,0,0,0.0,53033022703
165.028,36.57,4.53,1.88,68.11,0.67,2.02,153.419,4.013,67.973,0,0,0,16.7,53033022802
173.008,75.2,3.54,2.96,81.79,3.78,2.65,146.029,2.953,52.85,0,0,0,19.4,53033022803
115.227,80.35,3.12,1.5,74.16,2.32,6.59,165.289,3.093,51.133,0,0,0,13.6,53033022804
139.875,58.22,1.79,0.44,80.47,0.94,0.29,161.852,3.26,59.263,0,0,0,13.6,53033022805
182.985,19.98,3.95,3.5,68.56,0.6,1.54,175.791,2.813,49.043,0,0,0,19.4,53033022901
177.365,24.0,2.4,1.42,73.69,1.74,3.32,195.01,2.563,25.7,0,0,0,19.4,53033022902
177.0,47.93,2.5,6.35,66.5,1.28,2.69,145.343,5.82,36.287,0,0,0,12.1,53033023000
171.471,23.73,6.04,1.87,72.27,1.58,3.09,132.642,5.36,45.677,0,0,0,0.0,53033023100
99.971,69.12,10.06,3.26,70.74,0.99,2.99,121.251,4.99,51.51,0,0,0,12.1,53033023201
87.194,61.13,9.02,12.59,51.6,3.44,10.62,139.932,4.65,60.827,0,0,0,12.1,53033023202
133.733,27.97,4.56,7.25,56.66,12.23,7.86,127.888,7.493,45.653,0,0,0,0.0,53033023300
132.955,42.6,3.68,6.8,62.07,4.58,3.82,133.638,5.27,38.053,0,0,0,16.8,53033023401
155.054,21.13,5.37,2.23,69.77,2.04,4.88,193.35,3.32,18.233,0,0,0,0.0,53033023403
147.778,16.33,5.37,1.48,67.17,0.33,2.02,194.151,4.68,22.97,0,0,0,0.0,53033023404
146.518,31.3,4.24,0.74,63.24,1.76,4.52,133.904,5.417,54.81,0,0,0,0.0,53033023500
151.25,54.5,2.93,2.78,64.24,1.19,3.8,135.3,4.97,80.47,0,0,0,0.0,53033023601
142.825,65.43,1.39,13.86,69.99,1.68,9.64,127.171,6.25,70.803,0,0,0,12.1,53033023603
125.0,52.1,7.42,7.07,61.57,4.07,9.86,143.574,3.617,42.8,0,0,0,0.0,53033023604
197.957,35.16,3.71,4.37,78.28,1.05,1.94,148.339,5.59,59.3,0,0,0,13.6,53033023701
130.293,88.79,5.76,0.0,90.67,1.86,1.96,164.011,2.677,51.697,0,0,0,13.6,53033023702
125.461,57.83,5.9,11.36,68.4,1.7,7.99,135.124,7.943,54.057,0,0,0,0.0,53033023801
157.183,88.99,8.39,3.24,72.6,0.91,5.14,154.997,8.02,77.52,0,0,0,0.0,53033023805
147.683,98.73,7.1,1.12,85.1,2.59,1.1,149.039,8.35,87.01,0,0,0,0.0,53033023806
157.153,84.85,8.9,3.43,75.99,4.68,3.02,145.883,7.75,91.637,0,0,0,0.0,53033023807
132.782,87.19,7.76,0.7,72.9,4.0,6.41,154.006,8.13,90.857,0,0,0,0.0,53033023808
126.071,43.68,11.83,0.53,71.14,2.53,2.24,131.038,7.937,68.23,0,0,0,27.4,53033023901
250.001,5.01,0.0,1.62,83.5,0.0,2.71,159.553,5.317,33.793,0,0,0,0.0,53033023902
174.848,30.89,9.22,1.27,64.94,0.0,2.66,155.007,7.85,78.9,0,0,0,0.0,53033024001
160.156,48.98,8.06,1.36,78.19,1.65,0.35,154.006,8.13,90.857,0,0,0,0.0,53033024002
250.001,7.83,7.41,2.47,78.11,0.0,0.89,197.564,8.45,36.41,0,0,0,0.0,53033024100
244.74,18.21,4.55,1.42,87.64,0.21,2.57,191.761,8.123,32.803,0,0,0,0.0,53033024200
99.0,65.39,11.14,4.04,63.38,2.63,2.0,192.121,6.173,32.94,0,0,0,0.0,53033024301
215.862,26.33,5.6,0.58,73.64,0.47,5.48,110.257,8.033,53.57,0,0,0,27.4,53033024302
110.5,62.01,9.01,4.58,72.33,0.95,2.55,158.357,8.96,39.85,0,0,0,0.0,53033024400
250.001,10.48,3.91,2.74,83.05,1.34,0.83,153.167,6.717,44.137,0,0,0,0.0,53033024500
250.001,5.07,5.65,0.27,87.42,1.07,0.93,224.48,3.023,13.43,0,0,0,16.1,53033024601
250.001,5.46,3.06,1.33,88.73,0.87,1.13,146.962,5.803,32.527,0,0,0,16.1,53033024602
118.158,28.89,3.03,5.59,62.83,3.93,3.76,212.501,3.41,13.693,0,0,0,16.1,53033024701
192.898,19.95,1.44,1.61,73.26,1.81,2.68,145.92,3.37,33.34,0,0,0,16.1,53033024703
173.438,24.35,2.1,5.2,66.48,3.15,2.72,156.658,3.477,26.513,0,0,0,16.1,53033024704
142.18,34.09,3.83,3.34,54.55,0.88,7.9,184.207,5.423,20.95,0,0,0,16.8,53033024800
214.063,11.72,8.13,1.91,80.39,0.37,3.38,199.261,7.147,16.5,0,0,0,16.8,53033024901
