Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
4.2898893,10.917527,24.249592,3.3308563,10.761461,-2.750508,3.4396064,7.757492,59.91744,23.900202,53033008101
2.2865129,11.445502,11.573576,11.313408,3.580625,11.527189,5.3160596,7.7759213,58.143047,23.165546,53033008102
5.0935426,8.724256,19.311876,-1.046621,3.073877,-2.061463,5.153993,12.073678,-1.4307178,25.47504,53033008200
5.2079453,7.5748706,-4.1613603,-1.8167984,-0.46608877,-0.60458225,4.887309,15.057995,27.6309,21.949835,53033008300
13.759871,6.381998,0.42135355,0.15735371,3.4379797,1.9690514,2.8423016,17.37219,-0.076772295,27.38405,53033008401
3.4365895,9.788778,-4.053402,-4.922704,-0.38070053,0.007141554,5.394704,13.641314,29.30197,20.680544,53033008402
1.487906,14.411128,21.469006,43.828167,20.797922,18.256002,5.68566,8.012909,85.69743,30.985893,53033008500
0.8378133,9.146078,6.395377,-6.7303495,-3.3751688,0.36679626,2.1140203,9.539927,38.43974,19.97059,53033008600
-0.082577474,-1.9085817,-2.2675912,0.14911535,1.0211439,-0.2513848,3.3414295,5.8685517,-5.052829,-3.5637116,53033008900
4.2311954,10.549284,-3.3576846,10.588178,3.063775,16.71714,5.5065722,13.186388,42.82876,16.024384,53033009000
6.5471277,10.400135,13.550567,85.324196,30.290022,1.0745759,2.8535187,-2.6748738,75.352646,27.205399,53033009100
8.416062,9.273655,22.938255,53.137196,18.65301,13.832482,0.5509741,7.0762997,87.69071,29.53462,53033009200
0.815849,0.7464923,2.112297,-0.27096477,-1.5729859,-0.92350245,-1.3465575,6.2479515,-4.6547217,-1.7840546,53033009300
17.61869,7.130493,4.2415595,5.6877565,11.578486,15.087208,4.520713,27.982092,3.895459,16.509052,53033009400
-0.67241627,-1.2092917,-0.9628901,0.12445849,0.81637216,6.0343213,-0.79687005,-3.5307882,-3.5658295,-2.1004553,53033009500
-0.14161702,-3.7352986,7.152471,-3.2152498,0.17740545,-3.4559045,1.6036897,4.3826776,-2.2146668,-1.2635804,53033009801
0.7749767,-1.5197661,-1.1202624,-0.87101036,0.40478256,1.8058531,0.37897542,-0.50334567,1.3964584,-2.1846302,53033009802
0.21525192,-10.134533,-2.2410579,-4.9402213,-2.2145128,0.42689478,-1.4174248,2.1107597,20.886652,-1.7748765,53033009900
7.2856846,6.7627654,6.425649,38.500957,11.151602,20.79744,9.690603,15.617396,1.4508101,-0.013871724,53033010001
0.2613942,-2.161499,-1.5861288,-1.3069489,1.1912354,-0.13161017,0.7444588,6.8511353,-1.4695003,-3.2934163,53033010002
-0.46508026,-1.1155126,0.4036815,-0.7136513,0.63119316,0.69147134,0.8951143,-2.9788914,-3.0570943,-2.0230856,53033010102
-3.5750813,-2.3379114,0.62458915,-1.0163102,-0.50083715,2.002777,0.91546607,-1.9360676,-3.033381,-0.3710473,53033010200
-0.8340967,-0.56100214,0.11758158,-1.1618018,0.553703,0.917016,0.4212325,7.378513,-1.8657578,-1.385453,53033010601
1.9943359,0.28335866,0.100025,-0.314667,0.5845242,11.18218,3.1846166,-3.531175,-3.9741318,-3.1412854,53033010701
2.782917,-1.1366384,-1.2876326,0.06495356,-0.3028106,9.951586,2.3776777,-2.3696196,-3.6423848,-2.770299,53033010702
-1.1334805,3.1605945,-0.093060605,0.09998233,1.4438503,-0.0698557,1.0154063,6.3915715,-3.7287197,-0.2881136,53033010800
14.295072,-2.2951615,-3.5621405,14.196483,1.2335827,7.1427207,0.9952642,7.4827704,-2.7462106,-1.4627535,53033011001
3.292031,2.3113627,8.714251,3.2066138,5.172462,9.719442,-0.7325825,10.853624,-4.7216144,-3.250761,53033011101
3.0292804,0.5156369,1.9298097,-0.046477277,0.6603028,9.114741,3.189075,3.3070881,4.8198647,0.32006478,53033011102
